cc_dnssec,asn,name,dnssec_validates,uses_google_pdns,samples
GH,327928,ROYAL-BANK,0,0.0323,93
NG,327929,Center-Point-Technologies,0,0,21
DZ,327931,Optimum-Telecom-Algeria,0.0027,0.012,477374
AO,327932,CONNECTIS-DATA-ANGOLA,0.1472,0.7914,163
CD,327933,GROUPE-TELECOM-SPRL,0,0,8
ZA,327935,iSPACE,0,0,18
ZA,327936,KiboConnect,0.6374,0.6374,91
ZA,327939,CLAROTECH,0.0588,0.902,51
MW,327941,SIMBANET-MALAWI,0.5645,0.9512,799
NG,327942,LANDMARK-UNIVERSITY,0.4156,0.4286,77
ZA,327943,MEZOBYTE,0,0,21
KE,327945,ILRI,0.0411,0.1096,73
ZA,327946,MESH-TELECOM,0,0,30
GH,327947,KNUST-,0.8066,0.9818,274
ZA,327949,-HOLLARD,0,0,17
ZA,327950,-IZWI,0.4207,0.8897,145
NG,327952,-NATCOM,0.0209,0.134,25038
RE,327956,PARABOLE-REUNION,0.992,0.108,250
ZA,327957,WIPRO-KZN,0,0,24
ZA,327960,PC-MANIACS,0,0,12
ZA,327961,SPEER-MANAGEMENT-SERVICES,0,0,2
ZA,327962,PacketSky,0,0,30
GH,327965,ARB-APEX-BANK,0.0161,0.8548,62
ZA,327966,FJ-Wiese-CC,0.0167,0,60
ZW,327971,FBC-Holdings,0.9813,0.0562,267
KE,327972,Mawingu-Networks-Ltd,0.9219,0.9368,269
UG,327973,Face-Technologies,0,0,2
KE,327977,FAMILY-BANK,0,0,14
CD,327978,ISS,0,0,0
ZA,327979,DIAMATRIX,0,0,2
NG,327981,Ekovolt-Telco,0,0,104
ZA,327982,Sithabile-Technology-Services,0,0,1
ZA,327983,Interworks-Wireless-Solutions,0,0,38
ZA,327984,Skyfi-Internet-Solutions,0.3343,0.2543,350
NG,327985,IDS-AFRICA,0.9848,1,66
NG,327986,GUTTI-GLOBAL-NETWORKS,0,0,17
ZA,327987,Webstorm,0.027,0.1351,111
SL,327990,AI-NETWORKS-LIMITED,0.8174,0.9304,115
ZA,327991,MEGASURF-WIRELESS-INTERNET,0.8369,0.9231,325
ZA,327996,ACCELERIT,0.0339,0.0169,118
ZA,327999,Nepic-LTD,0.8583,0.9439,374
ZA,328001,SATSOFT,0,0,85
CD,328003,STANDARD-TELECOM-CONGO,0.6316,1,57
ZM,328007,Zambia-National-Commercial-Bank,0,0,0
ZA,328009,BEONLINE,0.0962,0.1538,52
ZA,328013,ISPAfrika,0.8643,0.3214,140
UG,328015,Sombha-Solutions,0.8571,0.4662,133
TZ,328017,TCRA-TZCERT,0,0,1
TZ,328018,National-Housing-Corporation,0,0,2
ZA,328020,Gardale-Solutions,0,0,4
TZ,328021,WIAFRICA,0.9048,0.619,147
ZA,328024,JACQCO-MANAGEMENT,0.22,0.02,50
ZM,328026,MOBILE-BROADBAND,0.9481,0.9734,3003
NG,328027,Sahara-Group,0,0,49
ZA,328030,THREE6FIVE,0,0,2
NG,328035,Zeta-Web-Nigeria-AS,0.4861,0.7345,1514
ZA,328036,WiFi-Technologies-AS,0.7727,0.7879,66
ZA,328038,Hitec-Sure-AS,0.7773,0.9913,229
ZA,328039,JSDAAV,0,0,24
